;name;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;fk_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;defensive_awareness;standing_tackle;slide_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;best_position;club_position;best_overall_rating;country;team;age
0;Enzo Jeremías Fernández;66;66;66;83;75;78;74;69;82;80;77;72;76;79;77;83;70;85;79;78;82;75;79;84;70;80;76;75;74;8;6;7;8;10;LCM;CM;82;Argentina;Benfica;21
1;Arda Güler;76;63;40;72;61;77;79;73;70;75;71;65;81;58;84;64;62;59;35;62;34;47;64;74;67;70;39;40;36;13;10;11;14;10;SUB;CAM;72;Turkey;Fenerbahçe;17
2;Alexis Mac Allister;79;77;61;81;73;76;83;82;77;79;73;66;73;75;72;78;64;75;67;81;54;61;77;78;80;76;68;67;60;7;10;14;15;10;RDM;CAM;79;Argentina;Brighton & Hove Albion;23
3;Randal Kolo Muani;45;79;78;76;70;85;69;54;61;82;89;85;82;78;51;75;82;68;69;63;32;38;82;65;62;79;32;32;31;7;14;15;8;5;SUB;ST;81;France;Eintracht Frankfurt;23
4;Damián Emiliano Martínez;22;16;26;50;13;13;22;20;59;35;59;57;49;80;49;62;60;40;70;16;37;13;12;66;42;60;11;20;20;85;83;82;83;85;GK;GK;84;Argentina;Aston Villa;29
5;Cristiano Ronaldo dos Santos Aveiro;78;91;89;78;85;81;79;75;70;87;76;82;77;90;67;93;95;70;75;88;62;29;93;76;90;94;24;32;24;7;11;15;14;11;ST;ST;88;Portugal;;37
6;Julián Álvarez;75;80;68;74;75;82;80;74;74;83;82;77;87;78;87;84;69;79;70;80;83;46;82;78;73;82;60;53;46;6;10;8;15;6;SUB;CAM;81;Argentina;Manchester City;22
7;Azzedine Ounahi;56;60;58;78;49;70;59;52;75;74;55;60;70;67;67;72;61;81;63;58;58;60;59;69;55;68;56;66;61;14;13;6;8;7;LCM;CM;73;Morocco;Angers SCO;22
8;Lionel Andrés Messi Cuccittini;84;90;70;91;88;95;93;93;90;93;87;76;91;92;95;86;68;70;68;91;44;40;93;94;75;96;20;35;24;6;11;15;14;8;RS;CAM;92;Argentina;Paris Saint Germain;35
9;Kylian Mbappé Lottin;78;93;72;85;83;93;80;69;71;91;97;97;93;93;81;88;77;87;76;82;64;38;92;83;80;88;26;34;32;13;5;7;11;6;LS;ST;92;France;Paris Saint Germain;23
10;Pablo Martín Páez Gavira;69;68;42;83;49;83;74;47;79;82;77;75;86;82;90;56;70;83;58;67;85;74;78;81;51;74;59;72;66;8;10;11;7;13;SUB;CAM;82;Spain;FC Barcelona;17
11;Marcus Edwards;69;73;37;73;69;85;76;60;60;82;88;82;92;78;92;74;45;71;38;75;43;30;76;75;58;83;38;32;24;7;12;15;15;6;ST;CAM;80;England;Sporting CP;23
12;Sofyan Amrabat;59;70;61;80;68;71;69;58;71;82;69;68;64;74;82;72;69;78;80;75;75;74;68;68;57;82;77;73;67;13;13;6;16;12;CM;CM;77;Morocco;Fiorentina;25
13;Joško Gvardiol;61;42;77;76;54;75;59;59;74;76;80;84;68;77;65;76;84;79;84;56;85;80;58;65;61;75;77;83;83;5;8;6;9;11;LCB;CB;83;Croatia;RB Leipzig;20
